LookupTableId,LookupTableName,EntryId,EntryCode,EntryLabel,ParentEntryId,EntityType,CustomFieldId,CustomFieldName,FieldType,SourceSystem
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f5e672cd-6214-ee11-b496-0050569ee75c,AACOUPC5,GOUV.AACOUPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5ab509f2-dab7-ed11-8f37-0050569ee75c,ACT,GOUV.ACT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f6e672cd-6214-ee11-b496-0050569ee75c,AMULPC1,GOUV.AMULPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f7e672cd-6214-ee11-b496-0050569ee75c,AMULPC3,GOUV.AMULPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f8e672cd-6214-ee11-b496-0050569ee75c,AMULPC5,GOUV.AMULPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,96935588-b636-ec11-9cc7-0050569ee75c,CDPC1,GOUV.CDPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,87935588-b636-ec11-9cc7-0050569ee75c,CDPC3,GOUV.CDPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,95935588-b636-ec11-9cc7-0050569ee75c,CDPC5,GOUV.CDPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,88935588-b636-ec11-9cc7-0050569ee75c,CDPC6,GOUV.CDPC6,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,90935588-b636-ec11-9cc7-0050569ee75c,CEPC0,GOUV.CEPC0,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,91935588-b636-ec11-9cc7-0050569ee75c,CEPC1,GOUV.CEPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,93935588-b636-ec11-9cc7-0050569ee75c,CEPC4,GOUV.CEPC4,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,94935588-b636-ec11-9cc7-0050569ee75c,CMIN,GOUV.CMIN,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,33f8bd4f-acb7-ed11-94cd-0050569e9064,CMINDA,GOUV.CMINDA,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,34f8bd4f-acb7-ed11-94cd-0050569e9064,CMINDO,GOUV.CMINDO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f9e672cd-6214-ee11-b496-0050569ee75c,DDocuCDPC1,GOUV.DDocuCDPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,fae672cd-6214-ee11-b496-0050569ee75c,DDocuCDPC3,GOUV.DDocuCDPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,fbe672cd-6214-ee11-b496-0050569ee75c,DDocuCDPC5,GOUV.DDocuCDPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,fce672cd-6214-ee11-b496-0050569ee75c,DDocuCDPC6,GOUV.DDocuCDPC6,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,35f8bd4f-acb7-ed11-94cd-0050569e9064,DEPOTDA,GOUV.DEPOTDA,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,36f8bd4f-acb7-ed11-94cd-0050569e9064,DEPOTDO,GOUV.DEPOTDO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,37f8bd4f-acb7-ed11-94cd-0050569e9064,DEPOTFAP,GOUV.DEPOTFAP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,32f8bd4f-acb7-ed11-94cd-0050569e9064,DGPC,GOUV.DGPC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,89935588-b636-ec11-9cc7-0050569ee75c,DGPC1,GOUV.DGPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8a935588-b636-ec11-9cc7-0050569ee75c,DGPC2,GOUV.DGPC2,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8b935588-b636-ec11-9cc7-0050569ee75c,DGPC3,GOUV.DGPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8c935588-b636-ec11-9cc7-0050569ee75c,DGPC4,GOUV.DGPC4,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8d935588-b636-ec11-9cc7-0050569ee75c,DGPC5,GOUV.DGPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8e935588-b636-ec11-9cc7-0050569ee75c,DGPC6,GOUV.DGPC6,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8f935588-b636-ec11-9cc7-0050569ee75c,DGPC7,GOUV.DGPC7,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,78d37c2b-ebbe-ed11-a5bd-0050569e9064,DocCDPC1,GOUV.DocCDPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,79d37c2b-ebbe-ed11-a5bd-0050569e9064,DocCDPC3,GOUV.DocCDPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,7ad37c2b-ebbe-ed11-a5bd-0050569e9064,DocCDPC5,GOUV.DocCDPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,38f8bd4f-acb7-ed11-94cd-0050569e9064,FICH1,GOUV.FICH1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,39f8bd4f-acb7-ed11-94cd-0050569e9064,FICH2,GOUV.FICH2,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,3af8bd4f-acb7-ed11-94cd-0050569e9064,FICH3,GOUV.FICH3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,3bf8bd4f-acb7-ed11-94cd-0050569e9064,FICH4,GOUV.FICH4,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,3cf8bd4f-acb7-ed11-94cd-0050569e9064,FICH5,GOUV.FICH5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,ed9e6e81-fab8-ed11-94cd-0050569e9064,FICH6,GOUV.FICH6,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,ee9e6e81-fab8-ed11-94cd-0050569e9064,FICH7,GOUV.FICH7,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c010369c-afb7-ed11-8f37-0050569ee75c,GRISQPC1,GOUV.GRISQPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c110369c-afb7-ed11-8f37-0050569ee75c,GRISQPC2,GOUV.GRISQPC2,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c210369c-afb7-ed11-8f37-0050569ee75c,GRISQPC3,GOUV.GRISQPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c310369c-afb7-ed11-8f37-0050569ee75c,GRISQPC5,GOUV.GRISQPC5,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,fde672cd-6214-ee11-b496-0050569ee75c,PRDocuCCPC1,GOUV.PRDocuCCPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,fee672cd-6214-ee11-b496-0050569ee75c,PRDocuCCPC3,GOUV.PRDocuCCPC3,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,ffe672cd-6214-ee11-b496-0050569ee75c,PRDocuCCPC5,GOUV.PRDocuCCPC5,,,,,,ProjectServer
