"EntityName_EN","ViewName","ViewLanguage","TotalRows","ViewError","ColumnName","NonNullCount","IsAllNull","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"Assignments","Affectations","FR","1772",,"AffectationEstPubliée","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentIsPublished","src.[AssignmentIsPublished]"
"Assignments","Affectations","FR","1772",,"TravailRéelMatériauAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialActualWork","src.[AssignmentMaterialActualWork]"
"Assignments","Affectations","FR","1772",,"TravailMatériauAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentMaterialWork","src.[AssignmentMaterialWork]"
"Assignments","Affectations","FR","1772",,"AffectationDateModification","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedDate","src.[AssignmentModifiedDate]"
"Assignments","Affectations","FR","1772",,"CompteurRévisionsModifiéAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentModifiedRevisionCounter","src.[AssignmentModifiedRevisionCounter]"
"Assignments","Affectations","FR","1772",,"CoûtHeuresSupplémentairesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeCost","src.[AssignmentOvertimeCost]"
"Assignments","Affectations","FR","1772",,"HeuresSupplémentairesAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentOvertimeWork","src.[AssignmentOvertimeWork]"
"Assignments","Affectations","FR","1772",,"UnitésPicAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentPeakUnits","src.[AssignmentPeakUnits]"
"Assignments","Affectations","FR","1772",,"AffectationPourcentageTravailEffectué","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentPercentWorkCompleted","src.[AssignmentPercentWorkCompleted]"
"Assignments","Affectations","FR","1772",,"CoûtNormalAffectation","1772","False","MAPPED","pjrep","MSP_EpmAssignment_UserView","AssignmentRegularCost","src.[AssignmentRegularCost]"
