"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"BusinessDrivers","EN","CreatedByResourceName","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedByResourceName","src.[CreatedByResourceName]"
"BusinessDrivers","EN","ImpactDescriptionExtreme","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionExtreme","src.[ImpactDescriptionExtreme]"
"BusinessDrivers","EN","ImpactDescriptionLow","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionLow","src.[ImpactDescriptionLow]"
"BusinessDrivers","EN","ImpactDescriptionModerate","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionModerate","src.[ImpactDescriptionModerate]"
"BusinessDrivers","EN","ImpactDescriptionNone","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionNone","src.[ImpactDescriptionNone]"
"BusinessDrivers","EN","ImpactDescriptionStrong","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionStrong","src.[ImpactDescriptionStrong]"
"BusinessDrivers","EN","ModifiedByResourceId","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedByResourceUID","src.[ModifiedByResourceUID]"
"BusinessDrivers","EN","ModifiedByResourceName","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedByResourceName","src.[ModifiedByResourceName]"
"ClassesFeuilleDeTemps","FR","NomService","4","MAPPED","pjrep","MSP_TimesheetClass_UserView","DepartmentName","src.[DepartmentName]"
"CommentairesEngagements","FR","DateCréationCommentaire","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","CreatedDate","src.[CreatedDate]"
"CommentairesEngagements","FR","IDAuteur","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","AuthorUID","src.[AuthorUID]"
"CommentairesEngagements","FR","IDCommentaire","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","CommentUID","src.[CommentUID]"
"CommentairesEngagements","FR","IDEngagement","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","EngagementUID","src.[EngagementUID]"
"CommentairesEngagements","FR","MessageCommentaire","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","CommentMessage","src.[CommentMessage]"
"CommentairesEngagements","FR","NomAuteur","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","AuthorName","src.[AuthorName]"
"CommentairesEngagements","FR","NomEngagement","0","MAPPED","pjrep","MSP_EpmEngagementComments_UserView","EngagementName","src.[EngagementName]"
"CostConstraintScenarios","EN","AnalysisId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","AnalysisUID","src.[AnalysisUID]"
"CostConstraintScenarios","EN","AnalysisName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","AnalysisName","src.[AnalysisName]"
"CostConstraintScenarios","EN","CreatedByResourceId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","CreatedByResourceUID","src.[CreatedByResourceUID]"
"CostConstraintScenarios","EN","CreatedByResourceName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","CreatedByResourceName","src.[CreatedByResourceName]"
"CostConstraintScenarios","EN","CreatedDate","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","CreatedDate","src.[CreatedDate]"
"CostConstraintScenarios","EN","ModifiedByResourceId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ModifiedByResourceUID","src.[ModifiedByResourceUID]"
"CostConstraintScenarios","EN","ModifiedByResourceName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ModifiedByResourceName","src.[ModifiedByResourceName]"
"CostConstraintScenarios","EN","ModifiedDate","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ModifiedDate","src.[ModifiedDate]"
"CostConstraintScenarios","EN","ScenarioDescription","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ScenarioDescription","src.[ScenarioDescription]"
"CostConstraintScenarios","EN","ScenarioId","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ScenarioUID","src.[ScenarioUID]"
"CostConstraintScenarios","EN","ScenarioName","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","ScenarioName","src.[ScenarioName]"
"CostConstraintScenarios","EN","SelectedProjectsCost","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","SelectedProjectsCost","src.[SelectedProjectsCost]"
"CostConstraintScenarios","EN","SelectedProjectsPriority","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","SelectedProjectsPriority","src.[SelectedProjectsPriority]"
"CostConstraintScenarios","EN","UnselectedProjectsCost","0","MAPPED","pjrep","MSP_EpmPortfolioCostConstraintScenario_UserView","UnselectedProjectsCost","src.[UnselectedProjectsCost]"
